,file_path,sentence,section,0,0_span,weight_0
2,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Mahmoud (Sudan), Valérie Masson-Delmotte (France), Carlos Méndez (Venezuela), Joy Jacqueline Pereira (Malaysia), Ramón Pichs-Madruga (Cuba), Hans-Otto Pörtner (Germany), Andy Reisinger (New Zealand), Debra Roberts (South Africa), Sergey Semenov (Russian Federation), Priyadarshi Shukla (India), Jim Skea (United Kingdom), Youba Sokona (Mali), Kiyoto Tanabe (Japan), Muhammad Tariq (Pakistan), Diana Ürge-Vorsatz (Hungary), Carolina Vera (Argentina), Pius Yanda (United Republic of Tanzania), Noureddine Yassaa (Algeria), Taha M. Zatari (Saudi Arabia), Panmao Zhai (China) Visual Conception and Information Design: Arlene Birt (USA), Meeyoung Ha (Republic of Korea) Date of Draft: 22 March 2023  Notes: SFs Compiled Version  Adopted Longer Report IPCC AR6 SYR Subject to Copy Edit                                                                                                                                                                        p.2 Table of Contents Section 1: Introduction 4 Section 2: Current Status and Trends 6 2.1 Observed Changes, Impacts and Attribution 6 2.1.1 Observed Warming and its Causes 6 2.1.2 Observed Climate System Changes and Impacts to Date 11 2.2 Responses Undertaken to Date 18 2.2.1 Global Policy Setting 18 2.2.2 Mitigation Actions to Date 19 2.2.3 Adaptation Actions to Date 21 2.3 Current Mitigation and Adaptation Actions and Policies are not Sufficient 23 2.3.1 The Gap Between Mitigation Policies, Pledges and Pathways that Limit Warming to 1.5 or Below 2°C 23 Cross-Section Box.1: Understanding Net Zero CO2 and Net Zero GHG Emissions 26 2.3.2 Adaptation Gaps and Barriers 27 2.3.3 Lack of Finance as a Barrier to Climate Action 28 Cross-Section Box.2: Scenarios, Global Warming Levels, and Risks 29 Section 3: Long-Term Climate and Development Futures 33 3.1 Long-Term Climate Change, Impacts and Related Risks 33 3.1.1 Long-term Climate Change 33 3.1.2 Impacts and Related Risks 36 3.1.3 The Likelihood and Risks of Abrupt and Irreversible Change 42 3.2 Long-term Adaptation Options and Limits 43 3.3 Mitigation Pathways 46 3.3.1 Remaining Carbon Budgets 46 3.3.2 Net Zero Emissions: Timing and Implications 50 3.3.3 Sectoral Contributions to Mitigation 51 3.3.4 Overshoot Pathways: Increased Risks and Other Implications 53 3.4 Long-Term Interactions Between Adaptation, Mitigation and Sustainable Development 53 3.4.1 Synergies and trade-offs, costs and benefits 53 3.4.2 Advancing Integrated Climate Action for Sustainable Development 55 Section 4: Near-Term Responses in a Changing Climate 56 4.1 The Timing and Urgency of Climate Action 56 4.2 Benefits of Strengthening Near-Term Action 59 4.3 Near-Term Risks 62 4.4 Equity and Inclusion in Climate Change Action 66 4.5 Near-Term Mitigation and Adaptation Actions 68 4.5.1 Energy Systems 70 4.5.2 Industry 71 4.5.3 Cities, Settlements and Infrastructure 72 Adopted Longer Report IPCC AR6 SYR Subject to Copy Edit                                                                                                                                                                        p.3 4.5.4 Land, Ocean, Food, and Water 73 4.5.5 Health and Nutrition 74 4.5.6 Society, Livelihoods, and Economies 74 4.6 Co-Benefits of Adaptation and Mitigation for Sustainable Development Goals 75 4.7 Governance and Policy for Near-Term Climate Change Action 78 4.8 Strengthening the Response: Finance, International Cooperation and Technology 80 4.8.1 Finance for Mitigation and Adaptation Actions 80 4.8.2 International Cooperation and Coordination 82 4.8.3 Technology Innovation, Adoption, Diffusion and Transfer 83 4.9 Integration of Near-Term Actions Across Sectors and Systems 84 Adopted Longer Report IPCC AR6 SYR Subject to Copy Edit                                                                                                                                                                        p.4 Section 1: Introduction 1.",HTML,Health,"(3134, 3140)",1
18,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"1The three Working Group contributions to AR6 are: Climate Change 2021: The Physical Science Basis; Climate Change 2022: Impacts, Adaptation and Vulnerability; and Climate Change 2022: Mitigation of Climate Change, respectively.",HTML,Vulnerability,"(145, 158)",1
195,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,The incidence of vector-borne diseases has increased from range expansion and/or increased reproduction of disease vectors (high confidence).,HTML,disease,"(107, 114)",1
207,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"B.5.1, WGII TS.C.11.3} Economic impacts attributable to climate change are increasingly affecting peoples livelihoods and are causing economic and societal impacts across national boundaries (high confidence).Economic damages from climate change have been detected in climate-exposed sectors, with regional effects to agriculture, forestry, fishery, energy, and tourism, and through outdoor labour productivity (high confidence) with some exceptions of positive impacts in regions with low energy demand and comparative advantages in agricultural 21Acute food insecurity can occur at any time with a severity that threatens lives, livelihoods or both, regardless of the causes, context or duration, as a result of shocks risking determinants of food security and nutrition, and is used to assess the need for humanitarian action {WGII SPM, footnote 30}.",HTML,nutrition,"(764, 773)",1
333,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Reduction of food loss and waste, and adaptation measures in support of balanced diets contribute to nutrition, health, and biodiversity benefits.",HTML,nutrition,"(101, 110)",1
341,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Agroecological principles and practices and other approaches that work with natural processes support food security, nutrition, health and well-being, livelihoods and biodiversity, sustainability and ecosystem services.",HTML,nutrition,"(117, 126)",1
343,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,Heat Health Action Plans that include early warning and response systems are effective adaptation options for extreme heat (high confidence).,HTML,Health,"(5, 11)",1
606,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"With about 2°C warming, climate-related changes in food availability and diet quality are estimated to increase nutrition-related diseases and the number of undernourished people, affecting tens (under low vulnerability and low warming) to hundreds of millions of people (under high vulnerability and high warming), particularly among low-income households in low- and middle-income countries in sub-Saharan Africa, South Asia and Central America (high confidence).",HTML,nutrition,"(112, 121)",1
1049,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Further warming will increase climate-sensitive food-borne, water-borne, and vector-borne disease risks (high confidence), and mental health challenges including anxiety and stress (very high confidence).",HTML,disease,"(90, 97)",1
1119,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"This report has a particular focus on the following system transitions: energy; industry; cities, settlements and infrastructure; land, ocean, food and water; health and nutrition; and society, livelihood and economies { WGII SPM A., WGII SPM Figure SPM.1, WGII SPM Figure SPM.4; SR1.5 SPM C.2,} 95See Annex I: Glossary.",HTML,nutrition,"(170, 179)",1
