,file_path,sentence,section,0,0_span,weight_0
7,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"It recognizes the interdependence of climate, ecosystems and biodiversity, and human societies; the value of diverse forms of knowledge; and the close linkages between climate change adaptation, mitigation, ecosystem health, human well-being and sustainable development.",HTML,health,"(217, 223)",1
37,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"This has led to widespread adverse impacts on food and water security, human health and on economies and society and related losses and damages6to nature and people (high confidence).",HTML,health,"(77, 83)",1
119,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"These estimates Adopted Longer Report IPCC AR6 SYR Subject to Copy Edit                                                                                                                                                                        p.11 income, state of urbanisation and urban form.",HTML,urbanisation,"(261, 273)",1
145,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,A.2} Adopted Longer Report IPCC AR6 SYR Subject to Copy Edit                                                                                                                                                                        p.13 START FIGURE 2.3 HERE Adopted Longer Report IPCC AR6 SYR Subject to Copy Edit                                                                                                                                                                        p.14 Figure 2.3: Both vulnerability to current climate extremes and historical contribution to climate change are highly heterogeneous with many of those who have least contributed to climate change to date being most vulnerable to its impacts.,HTML,vulnerability,"(502, 515)",1
156,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,Panel (b) shows the average level of vulnerability amongst a country’s population against 2019 CO2-FFI emissions per- capita per country for the 180 countries for which both sets of metrics are available.,HTML,vulnerability,"(37, 50)",1
158,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,Countries with a relatively low average vulnerability often have groups with high vulnerability within their population and vice versa.,HTML,vulnerability,"(40, 53)",1
159,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"The underlying data includes, for example, information on poverty, inequality, health care infrastructure or insurance coverage.",HTML,health,"(79, 85)",1
165,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,Global mental health and displacement assessments reflect only assessed regions.,HTML,"displacement, health","(25, 37), (14, 20)",2
184,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,{WGII SPM Footnote 32} Adopted Longer Report IPCC AR6 SYR Subject to Copy Edit                                                                                                                                                                        p.16 vulnerability and leads to competition for land and/or water resources (high confidence).,HTML,vulnerability,"(251, 264)",1
187,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"6; SRCCL SPM A.2.8, SRCCL SPM A.5.3; SROCC SPM A.5.4., SROCC SPM A.7.1, SROCC SPM A.8.1, SROCC Figure SPM.2}  In urban settings, climate change has caused adverse impacts on human health, livelihoods and key infrastructure (high confidence).",HTML,health,"(180, 186)",1
191,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Cities intensify human-caused warming locally (very high confidence), while urbanisation also increases mean and heavy precipitation over and/or downwind of cities (medium confidence) and resulting runoff intensity (high confidence).",HTML,urbanisation,"(76, 88)",1
192,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"{WGI SPM C.2.6; WGII SPM B.1.5, WGII Figure TS.9, WGII 6 ES} Climate change has adversely affected human physical health globally and mental health in assessed regions (very high confidence), and is contributing to humanitarian crises where climate hazards interact with high vulnerability (high confidence).",HTML,"vulnerability, health","(276, 289), (114, 120)",2
195,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,The incidence of vector-borne diseases has increased from range expansion and/or increased reproduction of disease vectors (high confidence).,HTML,disease,"(107, 114)",1
196,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Animal and human diseases, including zoonoses, are emerging in new areas (high confidence).",HTML,zoonoses,"(37, 45)",1
197,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"In assessed regions, some mental health challenges are associated with increasing temperatures (high confidence), trauma from extreme events (very high confidence), and loss of livelihoods and culture (high confidence) (Figure 2.3).",HTML,health,"(33, 39)",1
198,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Climate change impacts on health are mediated through natural and human systems, including economic and social conditions and disruptions (high confidence).",HTML,health,"(26, 32)",1
199,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Climate and weather extremes are increasingly driving displacement in Africa, Asia, North America (high confidence), and Central and South America (medium confidence) (Figure 2.3) , with small island states in the Caribbean and South Pacific being disproportionately affected relative to their small population size (high confidence).",HTML,displacement,"(54, 66)",1
200,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Through displacement and involuntary migration from extreme weather and climate events, climate change has generated and perpetuated vulnerability (medium confidence).",HTML,"vulnerability, displacement, migration","(133, 146), (8, 20), (37, 46)",3
202,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Concurrent and repeated climate hazards have occurred in all regions, increasing impacts and risks to health, ecosystems, infrastructure, livelihoods and food (high confidence).",HTML,health,"(102, 108)",1
204,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Multiple risks interact, generating new sources of vulnerability to climate hazards, and compounding overall risk (high confidence).",HTML,vulnerability,"(51, 64)",1
207,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"B.5.1, WGII TS.C.11.3} Economic impacts attributable to climate change are increasingly affecting peoples livelihoods and are causing economic and societal impacts across national boundaries (high confidence).Economic damages from climate change have been detected in climate-exposed sectors, with regional effects to agriculture, forestry, fishery, energy, and tourism, and through outdoor labour productivity (high confidence) with some exceptions of positive impacts in regions with low energy demand and comparative advantages in agricultural 21Acute food insecurity can occur at any time with a severity that threatens lives, livelihoods or both, regardless of the causes, context or duration, as a result of shocks risking determinants of food security and nutrition, and is used to assess the need for humanitarian action {WGII SPM, footnote 30}.",HTML,nutrition,"(764, 773)",1
210,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Individual livelihoods have been affected through changes in agricultural productivity, impacts on human health and food security, destruction of homes and infrastructure, and loss of property and income, with adverse effects on gender and social equity (high confidence).",HTML,health,"(105, 111)",1
